20.01.2017 07:00;5.4;711.5;72;7.0;2;15.0;0.7;0;0;9.8;
21.01.2017 07:00;4.4;704.7;97;2.8;4;15.0;3.9;2.0;0;4.7;
22.01.2017 07:00;4.2;705.2;93;1.7;3;5.0;3.2;2.0;0;5.5;
23.01.2017 07:00;4.6;708.6;99;0.0;0;10.0;4.4;6.0;0;9.6;
24.01.2017 07:00;5.0;709.3;97;2.8;3;5.0;4.5;17.0;0;6.5;
25.01.2017 07:00;4.8;716.2;97;2.6;2;10.0;4.3;46.0;0;10.5;
26.01.2017 07:00;3.8;715.7;95;7.0;2;20.0;3.1;0;0;12.2;
27.01.2017 07:00;6.7;714.9;73;7.0;3;15.0;2.2;;0;
28.01.2017 07:00;6.5;712.0;93;3.0;1;10.0;5.4;2.0;0;7.6;
29.01.2017 07:00;7.5;717.7;99;2.6;2;10.0;7.3;24.0;0;10.5;
30.01.2017 07:00;1.2;718.7;97;0.0;0;20.0;0.7;4.0;0;12.1;
31.01.2017 07:00;5.7;716.5;87;7.0;3;15.0;3.6;0;0;14.8;
01.02.2017 07:00;8.0;715.9;75;7.0;2;20.0;3.7;0;0;14.5;
02.02.2017 07:00;5.1;715.9;91;7.0;1;15.0;3.7;0;0;16.2;
03.02.2017 07:00;7.0;716.4;95;0.0;0;20.0;6.3;0;0;16.8;
04.02.2017 07:00;5.6;716.7;97;3.8;1;15.0;5.1;0;0;16.4;
05.02.2017 07:00;10.0;714.8;82;3.0;3;20.0;7.0;0;0;17.0;
06.02.2017 07:00;6.0;715.5;93;6.0;6;;4.9;7.0;0;12.0;
07.02.2017 07:00;11.4;716.1;83;6.0;5;;8.5;0.5;0;15.5;
08.02.2017 07:00;9.4;713.1;95;2.0;1;;8.6;0.4;0;8.0;
09.02.2017 07:00;4.0;714.3;97;4.6;2;;3.5;24.0;0;8.5;
10.02.2017 07:00;1.0;712.4;97;7.0;2;;0.5;3.0;0;11.0;
11.02.2017 07:00;6.4;712.0;66;7.0;3;;0.5;0;0;11.5;
12.02.2017 07:00;9.8;711.8;42;1.7;4;;-2.5;0;0;12.4;
13.02.2017 07:00;12.4;712.2;40;1.7;5;;-1.0;0;0;19.1;
14.02.2017 07:00;7.0;715.7;97;2.8;2;;6.6;0;0;15.5;
15.02.2017 07:00;6.9;720.7;100;3.8;1;;6.9;0;0;14.8;
16.02.2017 07:00;5.4;721.7;100;8.0;1;;5.4;0;0;15.5;
17.02.2017 07:00;4.4;719.4;97;0.0;0;;3.9;0;0;15.1;
18.02.2017 07:00;6.0;716.7;100;2.8;2;;6.0;0;0;11.0;
19.02.2017 07:00;5.5;715.5;97;0.0;0;;5.0;0;0;15.1;
20.02.2017 07:00;7.5;716.7;97;0.0;0;;7.1;0;0;15.0;
21.02.2017 07:00;8.0;715.9;100;7.0;1;;8.0;0;0;14.8;
22.02.2017 07:00;8.5;716.5;97;0.0;0;;8.1;0;0;18.0;
23.02.2017 07:00;13.5;713.6;75;7.0;5;;9.1;0;0;20.0;
24.02.2017 07:00;11.0;708.6;96;2.6;2;;10.4;0;0;14.0;
25.02.2017 07:00;10.2;712.5;97;4.6;3;;9.8;0;0;11.5;
26.02.2017 07:00;7.2;715.6;97;4.6;6;;6.8;2.0;0;13.2;
27.02.2017 07:00;2.2;714.6;97;0.0;0;;1.7;0;0;15.6;
28.02.2017 07:00;5.8;712.6;97;0.0;0;;5.3;0;0;17.5;
01.03.2017 07:00;7.4;714.5;92;2.8;3;;6.1;0;0;16.0;
02.03.2017 07:00;5.2;714.8;97;0.0;0;;4.7;;0;21.1;
03.03.2017 07:00;5.7;711.5;95;0.0;0;;5.0;;0;21.1;
04.03.2017 07:00;8.8;710.3;69;4.0;3;;3.4;;0;15.2;
05.03.2017 07:00;11.0;712.4;91;4.0;1;;9.6;;0;14.1;
06.03.2017 07:00;7.0;717.1;97;0.0;0;;6.6;;0;17.5;
07.03.2017 07:00;9.8;716.6;95;2.8;2;;9.0;;0;17.1;
08.03.2017 07:00;9.7;717.6;96;4.0;2;;9.1;;0;17.2;
09.03.2017 07:00;5.6;720.2;99;0.0;0;;5.4;;0;19.0;
10.03.2017 07:00;10.5;717.0;76;4.0;4;;6.4;;0;23.4;
11.03.2017 07:00;6.0;713.9;91;0.0;0;;4.6;;0;22.4;
12.03.2017 07:00;6.3;712.0;87;0.0;0;;4.2;;0;24.2;
13.03.2017 07:00;11.6;709.4;99;4.0;1;;11.4;;0;19.5;
14.03.2017 07:00;10.5;715.1;97;4.0;2;;10.1;;0;19.3;
15.03.2017 07:00;9.5;715.6;96;0.0;0;;8.9;;0;18.4;
16.03.2017 07:00;6.4;715.4;99;4.0;1;;6.2;;0;15.9;
17.03.2017 07:00;4.6;716.6;93;0.0;0;;3.6;;0;17.5;
18.03.2017 07:00;4.4;716.9;93;0.0;0;;3.4;;0;18.5;
19.03.2017 07:00;3.4;714.7;85;0.0;0;;1.1;;0;19.5;
20.03.2017 07:00;6.6;710.3;72;0.0;0;;1.9;;0;18.5;
21.03.2017 07:00;10.4;711.4;80;4.0;2;;7.0;;0;18.2;
22.03.2017 07:00;9.5;712.6;78;4.0;1;;5.9;;0;18.0;
23.03.2017 07:00;6.2;710.4;97;0.0;0;;5.8;;0;15.7;
24.03.2017 07:00;7.8;710.0;97;4.0;3;;7.4;;0;9.0;
25.03.2017 07:00;1.4;714.6;97;3.7;1;;0.9;;0;14.6;
26.03.2017 07:00;5.5;713.9;92;4.0;1;;4.3;;0;21.4;
27.03.2017 07:00;11.5;713.7;60;0.0;0;;4.0;;0;18.5;
28.03.2017 07:00;6.1;717.6;91;4.0;2;;4.7;;0;16.1;
29.03.2017 07:00;8.8;719.4;95;4.0;5;;8.0;;0;17.0;
30.03.2017 07:00;4.0;719.5;95;0.0;0;;3.3;;0;20.1;
31.03.2017 07:00;8.6;717.2;72;4.0;2;;3.7;;0;22.9;
01.04.2017 07:00;8.0;712.6;84;0.0;0;;5.5;;0;19.2;
02.04.2017 07:00;6.5;713.7;87;4.0;3;;4.4;;0;17.0;
03.04.2017 07:00;7.8;715.0;94;4.0;4;;6.9;;0;11.2;
04.04.2017 07:00;7.3;720.4;96;0.0;0;;6.7;;0;16.6;
